high,average,low,humi,notice,tropical night
28.1,26.4,21.8,18.1,86.8,0
27.4,25.2,21.9,19.1,90,0
31.3,31,26.3,21.4,70.9,0
29.9,29.3,25.6,21.8,67.9,0
31,31.3,25,19,70,0
26.5,24.2,21.1,18.7,87.4,0
32.6,32.1,26.2,20.4,76.4,0
31.1,31.1,23.4,18,79.5,0
31.8,31.7,25.6,19.8,72.8,0
32.1,32.3,25.1,19.3,71.5,0
26.7,24.2,21.5,18.4,89.6,0
31.7,31.6,27.3,21.7,66.4,0
32.6,32,26.7,21.3,77.9,0
29.8,29.7,23.9,19,69.9,0
30.9,30.9,24.4,17.7,69.9,0
31.9,31.5,25.6,19.6,69.3,0
27.7,25.6,23.1,20.1,82.8,0
32,31.3,25.7,21.2,82.4,0
29.9,32.4,25.1,19.6,57.4,0
32.1,31.4,25.8,20.8,75.5,0
29.2,27.6,23,19.2,82.4,0
31.6,31.6,24.6,19.5,71.8,0
31.6,31.2,25.7,20.3,77.6,0
30.5,29.5,24.8,21.4,66.8,0
32.2,31.6,25.7,20.9,71.3,0
31,30,25.2,20.9,76.3,0
30.2,29.2,25.2,21.7,74.9,0
29.8,28.8,24.1,20.5,78.9,0
31.1,30.2,24.6,19.9,76.5,0
32,31.1,25,19.6,78.6,0
29,27.1,24.6,22.9,80.3,0
31.8,31.8,24.9,17.6,75.8,0
31.6,31.5,25.3,19.5,74.5,0
31.7,31.7,25.1,18.6,76.8,0
30.9,31.7,23.9,19.3,71.6,0
30.9,31.2,24.6,19,70.6,0
27.5,26.5,20.1,14.7,82.1,0
31.5,31.9,23.2,19,78.3,0
30.6,30.9,24,18.3,76.1,0
30.9,30.9,24.4,18.2,74,0
31,31.2,25.1,18.9,76.9,0
31.1,30.2,25.4,20.3,75.1,0
32,32,26.1,20.3,74.9,0
31.3,31,24.7,19.9,78.3,0
31.5,31.5,25.9,20.5,69.6,0
31.9,30.8,25.6,20.8,79.4,0
30.6,29.8,23.8,18.6,79.9,0
31.5,31,25.2,19.7,73.4,0
30.7,31.5,24.7,18.9,73.5,0
30.2,29.4,22.6,17.5,82,0
31.4,30.6,24.9,19.6,78,0
32.7,31.7,25.2,19.8,69.5,0
31.7,31.8,25.3,20.1,77,0
33.6,33.2,25.8,20.9,66,0
31.9,31.2,24.9,18.1,74.3,0
31.3,30.6,24.4,17.6,77.3,0
31.7,31.1,24.5,17.7,76.4,0
30.8,30.1,23.5,17.2,80.4,0
32.5,32.5,26.1,19.4,71.1,0
30.6,31.1,23.6,18.4,75.8,0
29.7,28.6,,20.9,75.9,0
27.4,26.7,21.3,16.8,78.1,0
30.5,30.1,24.4,18.9,77.1,0
31.3,31,24.3,19.3,76.8,0
29.3,30.3,22.3,16.5,65.9,0
28.5,26.9,21.5,17.1,85.1,0
32.2,32.7,24,17.6,71.4,0
31.9,32.5,26,19.5,60.6,0
29.6,30.9,23.4,16.8,68.9,0
29.9,30.3,23.7,17.9,72.5,0
30.6,30.7,23.8,18.4,75.4,0
31,31.7,24.7,18.4,74.4,0
31.7,32.4,26,19.1,60.6,0
31,31.3,24,18.5,75.8,0
30.9,30.2,24.4,19.3,71.3,0
30.8,29.7,24.5,19.3,76.4,0
31,31.1,25.5,20.4,69,0
28.3,31.3,26.4,21.3,,0
31.6,31.6,27.1,22.2,67,1
32.1,32.3,26.5,21.2,66,0
,31.2,25.5,20.4,,0
31.6,31.8,25.4,19.1,70,0
30,30,23.9,18.5,74,0
31.4,31.6,24.5,18.6,78,0
31.1,30.5,23.6,18.5,82,0
31.7,31.8,25.8,19.7,74,0
29.1,26.1,22.5,19.2,94,0
31.2,31.9,23.7,18.8,72,0
32.2,30.8,24.8,19.2,86,0
31.7,31.7,24.3,18.3,79,0
32.8,32.3,25.2,18.9,79,0
32,32.1,25.6,19.4,73,0
31.6,30.5,24.1,17.5,82,0
31.2,30.7,24.4,19.8,77,0
31,30.5,24.6,18.4,74,0
30.2,30.9,24.5,19.2,73,0
31.3,31.8,26,20,69,0
32,31.8,26,20.4,77,0
32,32.2,24.8,20.2,82,0
31.2,32.7,24.3,17.7,70,0
31.7,31.9,25.4,18.9,73,0
31.9,32.5,26.2,20.3,65,0
31.9,31.4,26,20.3,70,0
31.2,31.4,25.9,20.2,71,0
31.8,32.1,25.3,19.1,78,0
32.1,32.4,25,18.5,79,0
32.3,32.5,24.8,18.9,75,0
32.1,32.6,25.8,20,74,0
32.1,32.6,25.1,20,77,0
31.7,31.9,25.2,19.8,75,0
31.8,31.8,24.6,18.4,80,0
32.2,32.3,26.1,19.6,72,0
32.3,30.8,25.5,21,81,0
32.8,33.3,26.8,21.1,74,0
30.9,30.7,23.9,18.5,78,0
32.2,31.6,24.8,18.4,78,0
30.8,30.7,24,19.1,78,0
31.8,32,25.9,20.1,75,0
32.3,31.9,24.5,19.3,80,0
32.1,31.6,25.3,19.9,76,0
31.8,32.2,25.5,20.1,74,0
31.6,31,24.3,17.9,79,0
31.2,30.6,24,18.3,79,0
29.8,26.2,22.3,18.8,96,0
31.4,30.5,24.7,18.8,79,0
31.6,31.5,24,18.3,76,0
32,31.7,26.4,20.1,75,0
31.1,30.1,23.1,17.5,82,0
33.2,32.9,26.1,20.3,81,0
32,31.7,24.5,18.4,82,0
31.8,31.3,25,18.5,80,0
32.5,32.9,26.2,19.8,69,0
32.8,32.8,25.8,18.1,70,0
31.6,32.1,25.5,19.4,74,0
32.5,32.1,24.5,17.8,79,0
32.9,33,24.9,16.7,74,0
33.1,32.2,25.9,18.9,78,0
31.5,31.4,25.9,21.3,70,0
32.2,32.3,24.9,18,76,0
32.4,31.3,24.9,19.3,84,0
31.6,31.9,24.7,18.5,79,0
31.1,29.6,24.3,20,81,0
30,29.4,22.4,16.9,79,0
32.5,33.2,25.5,18.9,65,0
31.2,32.9,24.9,18.9,71,0
31.9,32.7,24.5,17.8,68,0
31.2,32.1,25.1,18.1,68,0
33.1,32.8,25.6,19.4,76,0
32.7,32.7,24.3,17.8,73,0
32.3,32.5,25.8,19.8,68,0
31,33.1,24.8,18.1,64,0
28.3,26.3,22.7,19.7,81,0
28.5,26.4,22.5,18.9,86.8,0
30.7,29.5,24.2,18.5,76,0
31,30.5,24.2,18.5,74,0
32,32.5,26.1,20.2,67,0
32.4,31.6,24.6,18,79,0
31.2,31.4,25.2,19.7,74.5,0
32.8,33.2,25,18.1,74,0
31.1,29.7,23.8,18.3,86.4,0
31.7,30.3,24.2,18.5,83.1,0
31.2,30,24.5,19.2,83.5,0
26.2,24.7,21.3,19.2,84.1,0
26.3,24.5,21.9,20.1,86.8,0
31.9,31.8,27.1,23.6,64.1,0
30.6,31.2,27.4,24.2,52,0
29.8,29.9,24.6,21.1,65.9,0
26,23.2,21.3,20,91.9,0
31.9,31.9,27.4,23.2,65.1,0
28.8,27.7,22.2,18.8,77.3,0
30,29.6,25,22.1,71,0
31.8,32.4,26.5,21.1,65.4,0
26.5,24.3,21.7,19.2,85.5,0
31,32.1,27.3,23.8,55.5,0
31.9,31.5,27,23,63.8,0
29.1,28.8,23.5,16.3,66.5,0
29.3,28.9,23.3,18.1,70.1,0
30.9,30.2,24.5,19,72.8,0
26.9,25.3,23.3,21.6,78.3,0
32.6,31.6,26,22.3,82.3,0
29.3,28.8,24,20.3,69,0
32.5,32,26.1,21.8,76.6,0
27.2,24.9,22.5,19.8,86.1,0
30.4,29.9,24.9,20.6,66.8,0
32.7,31.4,26.1,22.4,81.8,0
30.2,29.4,24.7,21.7,69.6,0
30.8,29.6,25,21.5,73,0
30.4,28.9,25.3,22.7,82.6,0
28.8,27.6,25,22.8,77.1,0
31.3,29.4,24.5,22.1,86.1,0
30.3,28.4,24.6,21,81.5,0
32.3,31.5,25.6,21.1,79,0
29.1,26.9,24.8,23.2,85.1,0
31.4,30.7,25.1,20.5,74.8,0
30.7,30.6,25,21.1,72.8,0
31.2,30.9,24.8,20.3,76.3,0
28.4,27.7,22.8,18.9,73.3,0
30.8,31,24.4,20.2,68,0
23.7,22.5,18,14.8,82.1,0
27.2,27,21.4,17.9,77.4,0
28.4,27.7,22.8,19.5,75.5,0
30.5,30.1,24,17.9,68.9,0
30.4,30.2,25.2,19.9,71.9,0
32.2,30.9,25.5,22.4,80,0
31.9,32.2,26.8,22.1,71.3,0
31.5,31.8,25.5,19.8,68.4,0
30.8,31.6,26.5,22,58.1,0
32.1,30.7,25.9,21.6,81,0
30.8,30.4,24.7,19.3,77,0
32.7,32.6,25.5,20.9,78.5,0
31.3,30.8,25.4,19.9,71.8,0
30.1,29.4,22.9,17,82.3,0
31.8,31.2,25.2,21.3,78.9,0
31.1,29.9,24.3,19.8,70.8,0
32.1,32,26.4,21.5,75.1,0
29.4,27.9,24.6,21.5,73.6,0
31.1,29.7,25,20.9,79.6,0
30.6,28.8,24.3,20.6,83.3,0
31.1,29.7,24.5,19.9,81,0
30.4,29.3,23.9,19.6,81.5,0
