period,area,car,onroad,outroad,building,rate
2015,seoul,"2,437,900","132,234","51,527","2,261,549",100.3
,jongro,"37,256","2,199","1,084","28,178",84.4
,joongu,"39,106","1,436","2,072","28,410",81.6
,yongsan,"64,104","4,174","2,148","65,974",112.8
,sungdong,"74,727","6,636","2,458","66,809",101.6
,kwangjin,"76,681","3,934","1,691","68,699",96.9
,dongdeamoon,"74,503","4,598","1,974","82,023",118.9
,joongrang,"82,142","7,655","1,802","76,304",104.4
,sungbook,"95,678","6,556","1,446","104,220",117.3
,gangbook,"58,573","3,541","1,758","60,781",112.8
,dobong,"74,536","4,049","1,180","77,803",111.4
,nowon,"126,393","2,247",990,"123,848",100.5
,enpyeong,"101,630","4,296","1,555","113,846",117.8
,sudeamoon,"66,440","4,864","1,564","33,482",60.1
,mapo,"93,932","4,820","1,525","87,965",100.4
,yangchun,"120,734","3,215","3,898","103,411",91.5
,kangseo,"150,143","4,968","2,282","149,900",104.7
,gooro,"105,652","3,466","1,879","90,710",90.9
,gmchun,"59,483","3,210","1,416","43,279",80.5
,yeongdngpo,"112,172","6,525","2,690","77,144",77
,dongjack,"87,129","2,999",558,"90,218",107.6
,gwanak,"98,206","6,250","1,645","94,866",104.6
,seocho,"149,925","6,028","2,640","152,513",107.5
,gangnam,"198,610","9,899","4,506","166,216",90.9
,songpa,"180,550","15,602","5,112","164,366",102.5
,gangdong,"109,595","9,067","1,654","110,584",110.7
2016,seoul,"2,475,126","131,924","53,555","2,326,942",101.5
,jongro,"37,195","2,316","1,045","24,586",75.1
,joongu,"38,461","1,476","3,169","27,137",82.6
,yongsan,"64,133","4,016","2,274","59,585",102.7
,sungdong,"77,361","6,794","2,381","71,515",104.3
,kwangjin,"77,610","3,666","1,735","71,686",99.3
,dongdeamoon,"75,836","4,499","1,896","66,583",96.2
,joongrang,"84,132","7,486","2,448","78,634",105.3
,sungbook,"96,100","6,326","1,690","103,129",115.7
,gangbook,"59,915","3,507","1,758","60,371",109.5
,dobong,"76,043","3,947","1,225","80,277",112.4
,nowon,"128,286","2,229",969,"129,064",103.1
,enpyeong,"103,364","4,221","1,652","120,374",122.1
,sudeamoon,"68,480","5,742","1,567","64,699",105.2
